"","species","reference_no","subfamily","Tribe","Genus","Fossil","min_ma","max_ma","Notes"
"1","duisburgi","44414","Agroecomyrmecinae",NA,"Agroecomyrmex","Yes",33.9,38,"Note"
"2","rugosus","4971","Agroecomyrmecinae",NA,"Eulithomyrmex","Yes",33.9,37.2,"Note"
"3","striatus","4971","Agroecomyrmecinae",NA,"Eulithomyrmex","Yes",33.9,37.2,"Note"
"4",NA,"59088","Ambyloponinae",NA,"None","Yes",20.44,23.03,"Note"
"5",NA,"53165","Ambyloponinae","Amblyoponini","Amblyoponini","Yes",20.44,23.03,"Note"
"6","eocenica","43781","Ambyloponinae",NA,"Casaleia","Yes",40.4,48.6,"Note"
"7","inversa","41286","Ambyloponinae",NA,"Casaleia","Yes",5.333,15.97,"Note"
"8","longiventris","37344","Ambyloponinae",NA,"Casaleia","Yes",11.608,12.7,"Note"
"9","orientalis","56094","Ambyloponinae",NA,"Casaleia","Yes",33.9,38,"Note"
"10","sinensis","16579","Ambyloponinae",NA,"Myopopone","Yes",11.608,15.97,"Note"
"11","electrina","44602","Ambyloponinae",NA,"Stigmatomma","Yes",33.9,38,"Note"
"12","groehni","44602","Ambyloponinae",NA,"Stigmatomma","Yes",33.9,38,"Note"
"13","deformis","44404","Aneuretinae",NA,"Aneuretellus","Yes",41.3,47.8,"Note"
"14","anglicus","37729","Aneuretinae",NA,"Britaneuretus","Yes",33.9,38,"Note"
"15","rossi","39313","Aneuretinae",NA,"Burmomyrma","Yes",93.5,99.6,"Note"
"16","occidentalis","36535","Aneuretinae",NA,"Cananeuretus","Yes",70.6,83.5,"Note"
"17",NA,"44418","Aneuretinae",NA,"Mianeuretus","Yes",46.2,50.3,"Note"
"18","eocenicus","44418","Aneuretinae",NA,"Mianeuretus","Yes",46.2,50.3,"Note"
"19","mirabilis","4971","Aneuretinae",NA,"Mianeuretus","Yes",33.9,37.2,"Note"
"20","dubovikoffi","56094","Aneuretinae",NA,"Paraneuretus","Yes",33.9,38,"Note"
"21","longicornis","40999","Aneuretinae",NA,"Paraneuretus","Yes",33.9,38,"Note"
"22","tornquisti","40999","Aneuretinae",NA,"Paraneuretus","Yes",33.9,38,"Note"
"23","tornquisti","40999","Aneuretinae",NA,"Pityomyrmex","Yes",33.9,38,"Note"
"24","succineus","40999","Aneuretinae",NA,"Protaneuretus","Yes",33.9,38,"Note"
"25","kzylzharica","37059","Armaniinae",NA,"Archaeopone","Yes",89.8,93.9,"Note"
"26","taylori","35238","Armaniinae",NA,"Archaeopone","Yes",70.6,83.5,"Note"
"27",NA,"39728","Armaniinae",NA,"Armania","Yes",89.8,93.9,"Note"
"28","capitata","39728","Armaniinae",NA,"Armania","Yes",89.8,93.9,"Note"
"29","curiosa","35238","Armaniinae",NA,"Armania","Yes",70.6,83.5,"Note"
"30","pristina","39728","Armaniinae",NA,"Armania","Yes",89.8,93.9,"Note"
"31","robusta","35238","Armaniinae",NA,"Armania","Yes",70.6,83.5,"Stem Ant?"
"32","latipes","37059","Armaniinae",NA,"Dolichomyrma","Yes",89.8,93.9,"Note"
"33","longiceps","37059","Armaniinae",NA,"Dolichomyrma","Yes",89.8,93.9,"Note"
"34","mandibulata","39728","Armaniinae",NA,"Khetania","Yes",89.8,93.9,"Note"
"35","minor","38353","Armaniinae",NA,"Orapia","Yes",89.8,93.9,"Note"
"36","rayneri","38353","Armaniinae",NA,"Orapia","Yes",89.8,93.9,"Note"
"37","sphecoides","35238","Armaniinae",NA,"Poneropterus","Yes",70.6,83.5,"Note"
"38","aberrans","35238","Armaniinae",NA,"Pseudarmania","Yes",70.6,83.5,"Stem Ant?"
"39","rasnitsyni","35238","Armaniinae",NA,"Pseudarmania","Yes",70.6,83.5,"Stem Ant?"
"40","clavata","5815","Brownimeciinae",NA,"Brownimecia","Yes",89.8,93.9,"Note"
"41","changweiensis","16579","Dolichoderinae",NA,"Alloiomma","Yes",11.608,15.97,"Note"
"42","differentialis","36942","Dolichoderinae",NA,"Alloiomma","Yes",11.608,15.97,"Note"
"43","balticus","40999","Dolichoderinae",NA,"Asymphylomyrmex","Yes",33.9,38,"Note"
"44",NA,"49381","Dolichoderinae",NA,"Azteca","Yes",15.97,23.03,"Note"
"45","alpha","5207","Dolichoderinae",NA,"Azteca","Yes",13.82,20.44,"Note"
"46","eumeces","5207","Dolichoderinae",NA,"Azteca","Yes",13.82,20.44,"Note"
"47","medicinehatensis","47972","Dolichoderinae",NA,"Chronomyrmex","Yes",70.6,83.5,"Note"
"48","goepperti","38999","Dolichoderinae",NA,"Ctenobethylus","Yes",28.4,33.9,"Note"
"49",NA,"34859","Dolichoderinae",NA,"None","Yes",5.333,7.246,"Note"
"50",NA,"8673","Dolichoderinae",NA,"Dolichoderus","Yes",5.333,55.8,"Note"
"51","Hypoclinea","44557","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"52","affectus","38999","Dolichoderinae",NA,"Dolichoderus","Yes",28.4,33.9,"Note"
"53","antiquus","4971","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,37.2,"Note"
"54","balticus","38999","Dolichoderinae",NA,"Dolichoderus","Yes",23.03,28.1,"Note"
"55","brevicornis","44557","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"56","brevipalpis","44558","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"57","brevipennis","44558","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"58","bruneti","38999","Dolichoderinae",NA,"Dolichoderus","Yes",28.4,33.9,"Note"
"59","caribbaeus","5207","Dolichoderinae",NA,"Dolichoderus","Yes",13.82,20.44,"Note"
"60","coquandi","38999","Dolichoderinae",NA,"Dolichoderus","Yes",28.4,33.9,"Note"
"61","cornutus","44414","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"62","dibolius","5207","Dolichoderinae",NA,"Dolichoderus","Yes",13.82,20.44,"Note"
"63","dlusskyi","55770","Dolichoderinae",NA,"Dolichoderus","Yes",41.3,47.8,"Note"
"64","elegans","40999","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"65","evolans","16579","Dolichoderinae",NA,"Dolichoderus","Yes",11.608,15.97,"Note"
"66","explicans","38738","Dolichoderinae",NA,"Dolichoderus","Yes",28.4,33.9,"Note"
"67","granulinotus","44558","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"68","heeri","51760","Dolichoderinae",NA,"Dolichoderus","Yes",11.608,12.7,"Note"
"69","jiaoyanshanensis","16579","Dolichoderinae",NA,"Dolichoderus","Yes",11.608,15.97,"Note"
"70","kohlsi","44418","Dolichoderinae",NA,"Dolichoderus","Yes",46.2,50.3,"Note"
"71","kutscheri","44558","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"72","kutschlinicus","44564","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,37.2,"Note"
"73","lacinius","16579","Dolichoderinae",NA,"Dolichoderus","Yes",11.608,15.97,"Note"
"74","longipennis","44414","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"75","longipilosus","44557","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"76","lucidus","44558","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"77","luridivenosus","36942","Dolichoderinae",NA,"Dolichoderus","Yes",11.608,15.97,"Note"
"78","mesosternalis","40999","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"79","nanus","44557","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"80","obliteratus","39765","Dolichoderinae",NA,"Dolichoderus","Yes",23.03,33.9,"Note"
"81","oviformis","38999","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,37.2,"Note"
"82","passalomma","40999","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"83","perkovskyi","44558","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"84","pilipes","44558","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"85","pinguis","56094","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"86","polessus","44557","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"87","polonicus","44557","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"88","primitivus","5207","Dolichoderinae",NA,"Dolichoderus","Yes",13.82,20.44,"Note"
"89","prolaminatus","5207","Dolichoderinae",NA,"Dolichoderus","Yes",13.82,20.44,"Note"
"90","punctatus","44558","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"91","robustus","44557","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"92","rohweri","4971","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,37.2,"Note"
"93","sculpturatus","44414","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"94","tauricus","41286","Dolichoderinae",NA,"Dolichoderus","Yes",13.82,15.97,"Note"
"95","tertiarius","44414","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"96","transversipetiolaris","36942","Dolichoderinae",NA,"Dolichoderus","Yes",11.608,15.97,"Note"
"97","vectensis","5061","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"98","vexillarius","40999","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"99","vlaskini","44558","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"100","zherichini","44578","Dolichoderinae",NA,"Dolichoderus","Yes",33.9,38,"Note"
"101","coloradensis","4971","Dolichoderinae",NA,"Elaeomyrmex","Yes",33.9,37.2,"Note"
"102","gracilis","4971","Dolichoderinae",NA,"Elaeomyrmex","Yes",33.9,37.2,"Note"
"103","mutatus","16579","Dolichoderinae",NA,"Elaphrodites","Yes",11.608,15.97,"Note"
"104","scutulatus","16579","Dolichoderinae",NA,"Elaphrodites","Yes",11.608,15.97,"Note"
"105","oblongiceps","40999","Dolichoderinae",NA,"Eldermyrmex","Yes",33.9,38,"Note"
"106","klebsi","40999","Dolichoderinae",NA,"Electromyrmex","Yes",33.9,38,"Note"
"107","antiquus","37730","Dolichoderinae",NA,"Emplastus","Yes",11.608,12.7,"Note"
"108","biamoensis","56094","Dolichoderinae",NA,"Emplastus","Yes",33.9,38,"Note"
"109","britannicus","37729","Dolichoderinae",NA,"Emplastus","Yes",33.9,38,"Note"
"110","dubius","51760","Dolichoderinae",NA,"Emplastus","Yes",11.608,12.7,"Note"
"111","elongatus","56094","Dolichoderinae",NA,"Emplastus","Yes",33.9,38,"Note"
"112","gurnetensis","5061","Dolichoderinae",NA,"Emplastus","Yes",33.9,38,"Note"
"113","haueri","37730","Dolichoderinae",NA,"Emplastus","Yes",11.608,12.7,"Note"
"114","hypolithus","37729","Dolichoderinae",NA,"Emplastus","Yes",33.9,38,"Note"
"115","kozlovi","51861","Dolichoderinae",NA,"Emplastus","Yes",33.9,38,"Note"
"116","macrops","56094","Dolichoderinae",NA,"Emplastus","Yes",33.9,38,"Note"
"117","miocenicus","51760","Dolichoderinae",NA,"Emplastus","Yes",11.608,12.7,"Note"
"118","ocellus","37344","Dolichoderinae",NA,"Emplastus","Yes",11.608,12.7,"Note"
"119","compacta","44404","Dolichoderinae",NA,"Eotapinoma","Yes",41.3,47.8,"Note"
"120","gracilis","44404","Dolichoderinae",NA,"Eotapinoma","Yes",41.3,47.8,"Note"
"121","macalpini","38952","Dolichoderinae",NA,"Eotapinoma","Yes",70.6,83.5,"Note"
"122","geologicus","36942","Dolichoderinae",NA,"Eurymyrmex","Yes",11.608,15.97,"Note"
"123",NA,"49381","Dolichoderinae",NA,"Forelius","Yes",15.97,23.03,"Note"
"124","humiloides","5207","Dolichoderinae",NA,"Gracilidris","Yes",13.82,20.44,"Note"
"125",NA,"38990","Dolichoderinae",NA,"Iridomyrmex","Yes",38,41.3,"Note"
"126","shandongicus","16579","Dolichoderinae",NA,"Iridomyrmex","Yes",11.608,15.97,"Note"
"127","laticeps","41286","Dolichoderinae",NA,"Kotshkorkia","Yes",5.333,15.97,"Note"
"128","jucunda","55770","Dolichoderinae",NA,"Ktunaxia","Yes",41.3,47.8,"Note"
"129","neotropicus","5207","Dolichoderinae",NA,"Leptomyrmex","Yes",13.82,20.44,"Note"
"130","maravignae","44518","Dolichoderinae",NA,"Leptomyrmula","Yes",5.333,11.608,"Note"
"131",NA,"55004","Dolichoderinae",NA,"Linepithema","Yes",13.82,20.44,"Note"
"132",NA,"38709","Dolichoderinae",NA,"Liometopum","Yes",11.608,12.7,"Note"
"133","bogdassarovi","56276","Dolichoderinae",NA,"Liometopum","Yes",33.9,38,"Note"
"134","eremicum","16579","Dolichoderinae",NA,"Liometopum","Yes",11.608,15.97,"Note"
"135","imhoffii","37344","Dolichoderinae",NA,"Liometopum","Yes",11.608,12.7,"Note"
"136","incognitum","56094","Dolichoderinae",NA,"Liometopum","Yes",33.9,38,"Note"
"137","lubricum","36942","Dolichoderinae",NA,"Liometopum","Yes",11.608,15.97,"Note"
"138","miocenicum","4971","Dolichoderinae",NA,"Liometopum","Yes",33.9,37.2,"Note"
"139","oligocenicum","40999","Dolichoderinae",NA,"Liometopum","Yes",33.9,38,"Note"
"140","potamophilum","16579","Dolichoderinae",NA,"Liometopum","Yes",11.608,15.97,"Note"
"141","scudderi","4971","Dolichoderinae",NA,"Liometopum","Yes",33.9,37.2,"Note"
"142","impactus","4971","Dolichoderinae",NA,"Miomyrmex","Yes",33.9,37.2,"Note"
"143","striatus","4971","Dolichoderinae",NA,"Miomyrmex","Yes",33.9,37.2,"Note"
"144","minimus","4971","Dolichoderinae",NA,"Petraeomyrmex","Yes",33.9,37.2,"Note"
"145","rotundatus","55770","Dolichoderinae",NA,"Proiridomyrmex","Yes",41.3,47.8,"Note"
"146","vetulus","44418","Dolichoderinae",NA,"Proiridomyrmex","Yes",46.2,50.3,"Note"
"147","capitata","4971","Dolichoderinae",NA,"Protazteca","Yes",33.9,37.2,"Note"
"148","elongata","4971","Dolichoderinae",NA,"Protazteca","Yes",33.9,37.2,"Note"
"149","eocenica","55770","Dolichoderinae",NA,"Protazteca","Yes",41.3,47.8,"Note"
"150","hendersoni","5014","Dolichoderinae",NA,"Protazteca","Yes",33.9,37.2,"Note"
"151","quadrata","4971","Dolichoderinae",NA,"Protazteca","Yes",33.9,37.2,"Note"
"152",NA,"39584","Dolichoderinae",NA,"Tapinoma","Yes",5.333,11.608,"Note"
"153","aberrans","44578","Dolichoderinae",NA,"Tapinoma","Yes",33.9,38,"Note"
"154","baculum","16579","Dolichoderinae",NA,"Tapinoma","Yes",11.608,15.97,"Note"
"155","electrinum","44578","Dolichoderinae",NA,"Tapinoma","Yes",33.9,38,"Note"
"156","minutissimum","44518","Dolichoderinae",NA,"Tapinoma","Yes",5.333,11.608,"Note"
"157","troche","5207","Dolichoderinae",NA,"Tapinoma","Yes",13.82,20.44,"Note"
"158","caritatis","44634","Dolichoderinae",NA,"Technomyrmex","Yes",13.82,20.44,"Note"
"159","deletus","44518","Dolichoderinae",NA,"Technomyrmex","Yes",5.333,11.608,"Note"
"160","hispaniolae","5207","Dolichoderinae",NA,"Technomyrmex","Yes",13.82,20.44,"Note"
"161","septentrionalis","16579","Dolichoderinae",NA,"Technomyrmex","Yes",11.608,15.97,"Note"
"162","mirabilis","53816","Dolichoderinae",NA,"Usomyrma","Yes",33.9,38,"Note"
"163","constrictus","44414","Dolichoderinae",NA,"Yantaromyrmex","Yes",33.9,38,"Note"
"164","geinitzi","38999","Dolichoderinae",NA,"Yantaromyrmex","Yes",28.4,33.9,"Note"
"165","intermedius","50040","Dolichoderinae",NA,"Yantaromyrmex","Yes",33.9,38,"Note"
"166","mayrianum","50040","Dolichoderinae",NA,"Yantaromyrmex","Yes",33.9,38,"Note"
"167","samlandicus","40999","Dolichoderinae",NA,"Yantaromyrmex","Yes",33.9,38,"Note"
"168","horribilis","44404","Dolichoderinae",NA,"Zherichinius","Yes",41.3,47.8,"Note"
"169","rapax","44404","Dolichoderinae",NA,"Zherichinius","Yes",41.3,47.8,"Note"
"170","hispaniolicus","44410","Dorylinae",NA,"Acanthostichus","Yes",13.82,20.44,"Note"
"171","antillanus","44524","Dorylinae",NA,"Cylindromyrmex","Yes",13.82,20.44,"Note"
"172","electrinus","44524","Dorylinae",NA,"Cylindromyrmex","Yes",13.82,20.44,"Note"
"173","inopinatus","44525","Dorylinae",NA,"Cylindromyrmex","Yes",13.82,20.44,"Note"
"174",NA,"50423","Dorylinae",NA,"None","Yes",1.8,4.9,"Note"
"175",NA,"38999","Dorylinae",NA,"Lioponera","Yes",28.4,33.9,"Note"
"176",NA,"52386","Dorylinae",NA,"Neivamyrmex","Yes",15.97,23.03,"Note"
"177","ectopus","5206","Dorylinae",NA,"Neivamyrmex","Yes",13.82,20.44,"Note"
"178","annosus","40999","Dorylinae",NA,"Procerapachys","Yes",33.9,38,"Note"
"179","favosus","40999","Dorylinae",NA,"Procerapachys","Yes",33.9,38,"Note"
"180","sulcatus","44602","Dorylinae",NA,"Procerapachys","Yes",33.9,38,"Note"
"181","dentata","38952","Ectatomminae",NA,"Canapone","Yes",70.6,83.5,"Note"
"182","gracile","44518","Ectatomminae",NA,"Ectatomma","Yes",5.333,11.608,"Note"
"183","brunoi","44600","Ectatomminae",NA,"Gnamptogenys","Yes",13.82,20.44,"Note"
"184","casca","44600","Ectatomminae",NA,"Gnamptogenys","Yes",13.82,20.44,"Note"
"185","europaea","44414","Ectatomminae",NA,"Gnamptogenys","Yes",33.9,38,"Note"
"186","levinates","44601","Ectatomminae",NA,"Gnamptogenys","Yes",13.82,20.44,"Note"
"187","pristina","44601","Ectatomminae",NA,"Gnamptogenys","Yes",13.82,20.44,"Note"
"188","rohdendorfi","44602","Ectatomminae",NA,"Gnamptogenys","Yes",33.9,38,"Note"
"189","eocenica","43781","Ectatomminae",NA,"Pseudectatomma","Yes",40.4,48.6,"Note"
"190","striatula","43781","Ectatomminae",NA,"Pseudectatomma","Yes",40.4,48.6,"Note"
"191","gibsoni","59088","Ectatomminae",NA,"Rhytidoponera","Yes",20.44,23.03,"Note"
"192","kirghizorum","41286","Ectatomminae",NA,"Rhytidoponera","Yes",5.333,15.97,"Note"
"193","waipiata","59088","Ectatomminae",NA,"Rhytidoponera","Yes",20.44,23.03,"Note"
"194","gigantea","44589","Fomiciinae",NA,"Titanomyrma","Yes",40.4,48.6,"Note"
"195","lubei","35980","Fomiciinae",NA,"Titanomyrma","Yes",48.6,55.8,"Note"
"196","simillima","44589","Fomiciinae",NA,"Titanomyrma","Yes",40.4,48.6,"Note"
"197",NA,"40600","Formicinae",NA,"Acropyga","Yes",13.82,20.44,"Note"
"198","glaesaria","40302","Formicinae",NA,"Acropyga","Yes",13.82,20.44,"Note"
"199",NA,"51248","Formicinae","Camponotini","None","Yes",2.588,3.6,"Note"
"200",NA,"41286","Formicinae",NA,"Camponotites","Yes",11.608,15.97,"Note"
"201","kraussei","40968","Formicinae",NA,"Camponotites","Yes",47.8,56,"Note"
"202","macropterus","41286","Formicinae",NA,"Camponotites","Yes",11.608,15.97,"Note"
"203","silvestris","51248","Formicinae",NA,"Camponotites","Yes",2.588,3.6,"Note"
"204","steinbachi","36140","Formicinae",NA,"Camponotites","Yes",2.588,3.6,"Note"
"205","xiejiaheensis","16579","Formicinae",NA,"Camponotites","Yes",11.608,15.97,"Note"
"206",NA,"35523","Formicinae",NA,"Camponotus","Yes",15.97,20.43,"Note"
"207","ambon","16579","Formicinae",NA,"Camponotus","Yes",11.608,15.97,"Note"
"208","ampullosus","16579","Formicinae",NA,"Camponotus","Yes",11.608,15.97,"Note"
"209","cockerelli","5061","Formicinae",NA,"Camponotus","Yes",33.9,38,"Note"
"210","compactus","38738","Formicinae",NA,"Camponotus","Yes",28.4,33.9,"Note"
"211","crozei","51140","Formicinae",NA,"Camponotus","Yes",5.333,8.7,"Note"
"212","curviansatus","16579","Formicinae",NA,"Camponotus","Yes",11.608,15.97,"Note"
"213","festinatus","44458","Formicinae",NA,"Camponotus","Yes",15.97,20.43,"Note"
"214","festinus","16579","Formicinae",NA,"Camponotus","Yes",11.608,15.97,"Note"
"215","fuscipennis","4971","Formicinae",NA,"Camponotus","Yes",33.9,37.2,"Note"
"216","gracilis","16579","Formicinae",NA,"Camponotus","Yes",11.608,15.97,"Note"
"217","heracleus","37344","Formicinae",NA,"Camponotus","Yes",11.608,12.7,"Note"
"218","herculeanus","52251","Formicinae",NA,"Camponotus","Yes",1.806,2.588,"Note"
"219","induratus","37344","Formicinae",NA,"Camponotus","Yes",11.608,12.7,"Note"
"220","lignitus","37344","Formicinae",NA,"Camponotus","Yes",11.608,12.7,"Note"
"221","longiventris","38999","Formicinae",NA,"Camponotus","Yes",23.03,28.1,"Note"
"222","longus","16579","Formicinae",NA,"Camponotus","Yes",11.608,15.97,"Note"
"223","luteus","16579","Formicinae",NA,"Camponotus","Yes",11.608,15.97,"Note"
"224","mengei","38999","Formicinae",NA,"Camponotus","Yes",28.4,33.9,"Note"
"225","microcephalus","4971","Formicinae",NA,"Camponotus","Yes",33.9,37.2,"Note"
"226","microthoracus","16579","Formicinae",NA,"Camponotus","Yes",11.608,15.97,"Note"
"227","mitis","16579","Formicinae",NA,"Camponotus","Yes",11.608,15.97,"Note"
"228","novotnyi","44459","Formicinae",NA,"Camponotus","Yes",28.1,33.9,"Note"
"229","obesus","44462","Formicinae",NA,"Camponotus","Yes",7.246,11.62,"Note"
"230","oeningensis","37344","Formicinae",NA,"Camponotus","Yes",11.608,12.7,"Note"
"231","palaeopterus","16579","Formicinae",NA,"Camponotus","Yes",11.608,15.97,"Note"
"232","penninervis","38999","Formicinae",NA,"Camponotus","Yes",23.03,28.1,"Note"
"233","petrifactus","4971","Formicinae",NA,"Camponotus","Yes",33.9,37.2,"Note"
"234","pictus","36942","Formicinae",NA,"Camponotus","Yes",11.608,15.97,"Note"
"235","pinguiculus","37344","Formicinae",NA,"Camponotus","Yes",11.608,12.7,"Note"
"236","plenus","16579","Formicinae",NA,"Camponotus","Yes",11.608,15.97,"Note"
"237","shanwangensis","16579","Formicinae",NA,"Camponotus","Yes",11.608,15.97,"Note"
"238","theobaldi","38999","Formicinae",NA,"Camponotus","Yes",23.03,28.1,"Note"
"239","tokunagai","52927","Formicinae",NA,"Camponotus","Yes",48.6,55.8,"Note"
"240","ullrichi","44435","Formicinae",NA,"Camponotus","Yes",5.333,7.246,"Note"
"241","vehemens","38738","Formicinae",NA,"Camponotus","Yes",28.4,33.9,"Note"
"242","vetus","5133","Formicinae",NA,"Camponotus","Yes",46.2,50.3,"Note"
"243","constrictus","44414","Formicinae",NA,"Cataglyphoides","Yes",33.9,38,"Note"
"244","intermedius","44522","Formicinae",NA,"Cataglyphoides","Yes",33.9,38,"Note"
"245","brachycephala","44404","Formicinae",NA,"Chimaeromyrma","Yes",41.3,47.8,"Note"
"246","bitterfeldiana","44522","Formicinae",NA,"Conoformica","Yes",33.9,38,"Note"
"247","eocenicus","40725","Formicinae",NA,"Curtipalpulus","Yes",48.6,55.8,"Note"
"248","claripennis","40999","Formicinae",NA,"Drymomyrmex","Yes",33.9,38,"Note"
"249","fuscipennis","38999","Formicinae",NA,"Drymomyrmex","Yes",28.4,33.9,"Note"
"250","chinensis","40725","Formicinae",NA,"Eoleptocerites","Yes",48.6,55.8,"Note"
"251","fushunensis","40725","Formicinae",NA,"Eoleptocerites","Yes",48.6,55.8,"Note"
"252","fushunensis","40725","Formicinae",NA,"Eurytarsites","Yes",48.6,55.8,"Note"
"253",NA,"38999","Formicinae",NA,"Formica","Yes",33.9,37.2,"Note"
"254","alsatica","38999","Formicinae",NA,"Formica","Yes",28.4,33.9,"Note"
"255","annosa","55770","Formicinae",NA,"Formica","Yes",41.3,47.8,"Note"
"256","arcana","39765","Formicinae",NA,"Formica","Yes",23.03,33.9,"Note"
"257","auxillacensis","44462","Formicinae",NA,"Formica","Yes",5.333,7.246,"Note"
"258","bauckhorni","44433","Formicinae",NA,"Formica","Yes",23.03,28.4,"Note"
"259","biamoensis","56094","Formicinae",NA,"Formica","Yes",33.9,38,"Note"
